Date,SP500,iShares
4/28/2011,0.002300662,0.002785256
4/29/2011,-0.001752711,-0.006578676
5/2/2011,-0.003379304,-0.004267746
5/3/2011,-0.006855309,-0.001625556
5/4/2011,-0.009069835,-0.003849526
5/5/2011,0.00381992,0.003715521
5/6/2011,0.004544164,0.002220872
5/9/2011,0.008074037,0.008568405
5/10/2011,-0.011111496,-0.007323582
5/11/2011,0.004895437,0.005902236
5/12/2011,-0.008067329,-0.012322161
5/13/2011,-0.006204392,-0.01663475
5/16/2011,-0.000368561,-0.002416615
5/17/2011,0.0088038,0.009235518
5/18/2011,0.002177941,0.00150038
5/19/2011,-0.007688267,-0.005392535
5/20/2011,-0.011925585,-0.015662767
5/23/2011,-0.00082738,-0.004590091
5/24/2011,0.003183169,0.004764993
5/25/2011,0.003953115,0.006424898
5/26/2011,0.00408092,0.005472027
5/27/2011,0.010592724,0.015570824
5/31/2011,-0.022784644,-0.02277485
6/1/2011,-0.001224836,0.001066449
6/2/2011,-0.009733809,-0.014607568
6/3/2011,-0.010760206,-0.007412056
6/6/2011,-0.000956408,-0.003111212
6/7/2011,-0.004186874,-0.009519324
6/8/2011,0.00737749,0.001260479
6/9/2011,-0.013979845,-0.014634518
6/10/2011,0.000668756,-0.002554903
6/13/2011,0.01261178,0.014569501
6/14/2011,-0.017431846,-0.018147529
6/15/2011,0.001754335,-0.004017934
6/16/2011,0.003045017,-0.002904643
6/17/2011,0.005395191,0.002751093
6/20/2011,0.013423476,0.020497089
6/21/2011,-0.006468449,-0.006958599
6/22/2011,-0.002827987,0.010829852
6/23/2011,-0.011725788,-0.018277236
6/24/2011,0.009184458,0.014469264
6/27/2011,0.012944355,0.012836899
6/28/2011,0.008282747,0.002660131
6/29/2011,0.010119229,0.014668861
6/30/2011,0.014409702,0.015841554
7/1/2011,-0.001336179,0.00257378
7/5/2011,0.001001559,0.005134378
7/6/2011,0.010453846,0.0136719
7/7/2011,-0.006961117,-0.004742748
7/8/2011,-0.018090533,-0.018019473
